in:WWR N-W,in:WWR S-E,in:SHGC N-W,in:SHGC S-E,in:EXT SHADING N-W,in:EXT SHADING S-E,out:EUI (kWh/m2/yr),out:PEAK COOLING (kW),out:PEAK HEATING (kW),out:Thermal Comfort (%),out:sDA (Area %),img
0.3,0.3,g33,g25,0,0,78.636,303.115442,180.768229,96.495726,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.3,g33,g25,0,0,79.392,327.819859,183.831474,96.44472,94.983628,WWRN-W0.4_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.3,g33,g25,0,0,80.227,352.993931,186.848292,96.437827,94.999377,WWRN-W0.5_WWRS-E0.3_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.4,g33,g25,0,0,79.262,329.409204,184.299351,96.498484,89.61325,WWRN-W0.3_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.4,g33,g25,0,0,80.038,354.008343,187.360775,96.458506,97.229772,WWRN-W0.4_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.4,g33,g25,0,0,80.885,379.207002,190.337333,96.440585,97.094458,WWRN-W0.5_WWRS-E0.4_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.5,g33,g25,0,0,79.995,356.013141,187.707564,96.470913,89.546788,WWRN-W0.3_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.4,0.5,g33,g25,0,0,80.787,380.483901,190.726015,96.437827,97.155026,WWRN-W0.4_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.5,0.5,g33,g25,0,0,81.646,405.79284,193.719772,96.426799,97.202323,WWRN-W0.5_WWRS-E0.5_SHGCN-Wg33_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
0.3,0.3,g45,g25,0,0,78.514,296.851401,180.768229,96.506755,87.59202,WWRN-W0.3_WWRS-E0.3_SHGCN-Wg45_SHGCS-Eg25_EXTSHADINGN-W0_EXTSHADINGS-E0_Perspective.png
